COMUNE     LIVELLO    ESITO    TEMPO     NOTE
  036003  Campogalliano          0 su     8,538  (41 colonne)
  036004  Camposanto             0 su     3,296  (41 colonne)
  036005  Carpi                  0 su    72,523  (41 colonne)
  036006  Castelfranco Emili     0 su    33,364  (41 colonne)
  036007  Castelnuovo Rangon     0 su    15,058  (41 colonne)
  036008  Castelvetro di Mod     0 su    11,078  (41 colonne)
  036009  Cavezzo                0 su     7,182  (41 colonne)
  036010  Concordia sulla Se     0 su     8,327  (41 colonne)
  036012  Finale Emilia          0 su    15,142  (41 colonne)
  036013  Fiorano Modenese       0 su    16,754  (41 colonne)
  036015  Formigine              0 su    34,478  (41 colonne)
  036017  Guiglia                0 su     4,174  (41 colonne)
  036019  Maranello              0 su    17,278  (41 colonne)
  036020  Marano sul Panaro      0 su     5,283  (41 colonne)
  036021  Medolla                0 su     6,416  (41 colonne)
  036022  Mirandola              0 su    24,395  (41 colonne)
  036023  Modena                 0 su   184,597  (44 colonne)
  036026  Montese                0 su     3,307  (41 colonne)
  036027  Nonantola              0 su    16,110  (41 colonne)
  036028  Novi di Modena         0 su    10,165  (41 colonne)
  036030  Pavullo nel Frigna     0 su    18,268  (41 colonne)
  036033  Prignano sulla Sec     0 su     3,809  (41 colonne)
  036034  Ravarino               0 su     6,307  (41 colonne)
  036036  San Cesario sul Pa     0 su     6,583  (41 colonne)
  036037  San Felice sul Pan     0 su    10,827  (41 colonne)
  036038  San Possidonio         0 su     3,487  (41 colonne)
  036039  San Prospero           0 su     6,165  (41 colonne)
  036040  Sassuolo               0 su    40,996  (41 colonne)
  036041  Savignano sul Pana     0 su     9,595  (41 colonne)
  036042  Serramazzoni           0 su     8,813  (41 colonne)
  036044  Soliera                0 su    15,579  (41 colonne)
  036045  Spilamberto            0 su    12,945  (41 colonne)
  036046  Vignola                0 su    25,999  (41 colonne)
  036047  Zocca                  0 su     4,702  (41 colonne)
  037001  Anzola dell'Emilia     0 su    12,347  (41 colonne)
  037002  Argelato               0 su     9,647  (41 colonne)
  037003  Baricella              0 su     7,129  (41 colonne)
  037005  Bentivoglio            0 su     5,777  (41 colonne)
  037006  Bologna                0 su   390,098  (44 colonne)
  037007  Borgo Tossignano       0 su     3,187  (41 colonne)
  037008  Budrio                 0 su    18,365  (41 colonne)
  037009  Calderara di Reno      0 su    13,690  (41 colonne)
  037011  Casalecchio di Ren     0 su    35,373  (41 colonne)
  037012  Casalfiumanese         0 su     3,382  (41 colonne)
  037015  Castel di Casio        0 su     3,322  (41 colonne)
  037016  Castel Guelfo di B     0 su     4,506  (41 colonne)
  037017  Castello d'Argile      0 su     6,626  (41 colonne)
  037019  Castel Maggiore        0 su    18,496  (41 colonne)
  037020  Castel San Pietro      0 su    20,694  (41 colonne)
  037021  Castenaso              0 su    16,357  (41 colonne)
  037022  Castiglione dei Pe     0 su     5,462  (41 colonne)
  037024  Crevalcore             0 su    13,981  (41 colonne)
  037025  Dozza                  0 su     6,544  (41 colonne)
  037027  Gaggio Montano         0 su     4,835  (41 colonne)
  037028  Galliera               0 su     5,629  (41 colonne)
  037030  Granarolo dell'Emi     0 su    12,915  (41 colonne)
  037031  Grizzana Morandi       0 su     3,928  (41 colonne)
  037032  Imola                  0 su    69,332  (41 colonne)
  037034  Loiano                 0 su     4,510  (41 colonne)
  037035  Malalbergo             0 su     9,208  (41 colonne)
  037036  Marzabotto             0 su     6,871  (41 colonne)
  037037  Medicina               0 su    16,720  (41 colonne)
  037038  Minerbio               0 su     8,949  (41 colonne)
  037039  Molinella              0 su    15,709  (41 colonne)
  037040  Monghidoro             0 su     3,873  (41 colonne)
  037041  Monterenzio            0 su     6,110  (41 colonne)
  037042  Monte San Pietro       0 su    10,813  (41 colonne)
  037044  Monzuno                0 su     6,414  (41 colonne)
  037045  Mordano                0 su     4,576  (41 colonne)
  037046  Ozzano dell'Emilia     0 su    14,063  (41 colonne)
  037047  Pianoro                0 su    17,746  (41 colonne)
  037048  Pieve di Cento         0 su     7,326  (41 colonne)
  037050  Sala Bolognese         0 su     8,413  (41 colonne)
  037051  San Benedetto Val      0 su     4,216  (41 colonne)
  037052  San Giorgio di Pia     0 su     9,503  (41 colonne)
  037053  San Giovanni in Pe     0 su    27,960  (41 colonne)
  037054  San Lazzaro di Sav     0 su    32,699  (41 colonne)
  037055  San Pietro in Casa     0 su    12,929  (41 colonne)
  037056  Sant'Agata Bologne     0 su     7,351  (41 colonne)
  037057  Sasso Marconi          0 su    14,868  (41 colonne)
  037059  Vergato                0 su     7,645  (41 colonne)
  037060  Zola Predosa           0 su    19,369  (41 colonne)
  037061  Valsamoggia            0 su    31,925  (41 colonne)
  037062  Alto Reno Terme        0 su     7,050  (41 colonne)
  038001  Argenta                0 su    21,110  (41 colonne)
  038003  Bondeno                0 su    13,918  (41 colonne)
  038004  Cento                  0 su    35,391  (41 colonne)
  038005  Codigoro               0 su    11,037  (41 colonne)
  038006  Comacchio              0 su    22,054  (41 colonne)
  038007  Copparo                0 su    15,739  (41 colonne)
  038008  Ferrara                0 su   129,391  (41 colonne)
  038011  Lagosanto              0 su     4,662  (41 colonne)
  038014  Mesola                 0 su     6,417  (41 colonne)
  038017  Ostellato              0 su     5,583  (41 colonne)
  038018  Poggio Renatico        0 su     9,760  (41 colonne)
  038019  Portomaggiore          0 su    11,996  (41 colonne)
  038022  Vigarano Mainarda      0 su     7,658  (41 colonne)
