cognome,frequenza
MANGANELLI,50
LOTTINI,50
LAURIA,50
MELLI,50
NOFERI,50
PELLEGRINO,50
POLLINI,50
TAITI,50
RICCERI,50
SERNESI,50
TEI,50
TARDUCCI,50
RAVENNI,50
RASPANTI,50
VIGNALI,50
ALESSANDRI,50
BORGHESI,50
ALLEGRI,50
BARUCCI,50
D'AMBROSIO,49
DONI,49
LANZA,49
GAZZINI,49
MINI,49
MUNTEANU,49
MONTECCHI,49
PETRIOLI,49
NEGRI,49
TAIUTI,49
TOMA,49
REALE,49
STELLINI,49
TRALLORI,49
SCALA,49
SOCCI,49
VEGNI,49
CALAMASSI,49
AMADORI,49
BENCI,49
CARCASCI,49
CASSI,49
ANDREANI,49
BITOSSI,49
BOLDRINI,49
DELLI,48
CHELAZZI,48
FONDELLI,48
CORTIGIANI,48
DEL PANTA,48
GALASSI,48
CORRADO,48
CERTINI,48
LACHI,48
MAIANI,48
GAMBASSI,48
MILIANI,48
MUGELLI,48
NICOLETTI,48
MIRANDA,48
PASQUI,48
MBENGUE,48
PERFETTI,48
PETRACCHI,48
MASELLI,48
SEGHI,48
SCARDIGLI,48
SASSOLI,48
CASTILLO,48
ANSELMI,48
ANGELINI,48
BORDONI,48
ALI,48
ADAMO,48
BONCOMPAGNI,48
BASTIANELLI,48
DI MARTINO,47
FREDDUCCI,47
DANI,47
DA SILVA,47
FANCIULLACCI,47
GIOMI,47
LUCIANO,47
GHELLI,47
GASPARINI,47
GENTILINI,47
GENNAI,47
IBRALIU,47
MANCUSO,47
MARLAZZI,47
NOZZOLI,47
PIERUCCI,47
PASQUALETTI,47
MASSA,47
NANNONI,47
MICHELAGNOLI,47
PASQUINELLI,47
PALERMO,47
ULIVELLI,47
SERAVALLI,47
RAMOS,47
REGGIOLI,47
SARDELLI,47
VILIGIARDI,47
BATISTINI,47
BARBARO,47
BONANNO,47
BEVILACQUA,47
CAMPANI,47
BIANCONI,47
CATANI,47
BALDUCCI,47
CARPINI,47
BONELLI,47
FERRATI,46
DESIDERI,46
CROCIANI,46
DEL CONTE,46
FALL,46
COPPI,46
DI GIOVANNI,46
CERRINI,46
CURCIO,46
FEDELI,46
MARCHINI,46
HASANI,46
MEGLI,46
NENCI,46
MASIERI,46
MASCHERINI,46
PALMA,46
SPAGNOLI,46
SCOGNAMIGLIO,46
SPATARO,46
SOLDANI,46
VACCARO,46
ROSA,46
VILLORESI,46
BOLOGNA,46
BATISTONI,46
BONACCINI,46
BIGOZZI,46
BERTACCINI,46
ALBANO,46
D'ONOFRIO,45
DRAGONI,45
FIORENTINO,45
DONATINI,45
ENACHE,45
FATTORINI,45
CORSINOVI,45
D'AMATO,45
CHIOSTRI,45
DI BENEDETTO,45
LUCIANI,45
GIORDANI,45
GAO,45
GUIDARELLI,45
LUCHI,45
PROVVEDI,45
PASTACALDI,45
PALAZZO,45
PANCHETTI,45
PASSALACQUA,45
NALDONI,45
PALLANTI,45
MUZZI,45
MASCAGNI,45
USAI,45
TORTI,45
TONI,45
TORTELLI,45
TAVERNI,45
TEDESCHI,45
WARNAKULASURIYA,45
VITIELLO,45
CASPRINI,45
BACCIOTTI,45
BONINSEGNI,45
CATALDO,45
BATTISTINI,45
BECHI,45
CARNIANI,45
BENNATI,45
BALDACCI,45
BARBAGLI,45
CORSANI,44
COSENTINO,44
CIACCHERI,44
COSSU,44
CHILLERI,44
FIORETTI,44
LORI,44
GAMBI,44
LIGUORI,44
